Date,Strategy,UnderlyingSymbol,Allocation,Margin,Hedged Margin
05/09/24,TS,SPX,100000.00,100000.00,50000.00
06/09/24,TS,SPX,200000.00,100000.00,50000.00
16/09/24,TS,SPX,200000.00,60000.00,30000.00
04/12/24,TS,SPX,240000.00,60000.00,30000.00
04/12/24,TS,NDX,200000.00,200000.00,100000.00
26/12/24,TS,SPX,420000.00,60000.00,30000.00
31/12/24,TS,SPX,480000.00,60000.00,30000.00
12/02/25,TS,SPX,360000.00,60000.00,30000.00
12/02/25,UT,SPX,360000.00,60000.00,30000.00
07/05/25,TS,SPX,180000.00,60000.00,30000.00
07/05/25,UT,SPX,360000.00,60000.00,30000.00
07/05/25,SS,SPX,180000.00,60000.00,30000.00
17/06/25,TS,SPX,240000.00,60000.00,30000.00
17/06/25,UT,SPX,420000.00,60000.00,30000.00
17/06/25,SS,SPX,240000.00,60000.00,30000.00